"dup_1" "dup_2" "ancestral_copy" "func"
"457" "FBgn0145873" "FBgn0145874" "FBgn0094882" "pseudo_dup_1"
"458" "FBgn0142392" "FBgn0142393" "FBgn0089467" "pseudo_both"
"459" "FBgn0137972" "FBgn0146582" "FBgn0094104" "pseudo_dup_1"
"462" "FBgn0138482" "FBgn0141634" "FBgn0090458" "pseudo_dup_1"
"463" "FBgn0143405" "FBgn0143406" "FBgn0093099" "Neofunctionalization(Dup1)"
"464" "FBgn0144383" "FBgn0147165" "FBgn0098234" "pseudo_dup_2"
"466" "FBgn0145185" "FBgn0280974" "FBgn0093665" "pseudo_dup_2"
"468" "FBgn0280670" "FBgn0280848" "FBgn0274383" "Neofunctionalization(Dup2)"
"469" "FBgn0135291" "FBgn0142508" "FBgn0101855" "pseudo_dup_2"
"470" "FBgn0281152" "FBgn0281192" "FBgn0273720" "Conservation"
"472" "FBgn0140202" "FBgn0140203" "FBgn0099695" "Conservation"
"473" "FBgn0135143" "FBgn0138582" "FBgn0098834" "pseudo_dup_1"
"474" "FBgn0138944" "FBgn0145177" "FBgn0093641" "Conservation"
"475" "FBgn0140717" "FBgn0140718" "FBgn0092189" "pseudo_dup_2"
"477" "FBgn0139741" "FBgn0140128" "FBgn0274264" "pseudo_dup_2"
"478" "FBgn0139256" "FBgn0141207" "FBgn0095621" "pseudo_dup_1"
"479" "FBgn0139549" "FBgn0144155" "FBgn0087141" "Conservation"
"481" "FBgn0143379" "FBgn0146364" "FBgn0097703" "Conservation"
"482" "FBgn0133975" "FBgn0139196" "FBgn0096047" "Conservation"
"483" "FBgn0141016" "FBgn0281541" "FBgn0091475" "pseudo_dup_2"
"484" "FBgn0140805" "FBgn0144691" "FBgn0093230" "pseudo_dup_1"
"487" "FBgn0144469" "FBgn0144470" "FBgn0096075" "pseudo_both"
"488" "FBgn0146196" "FBgn0146839" "FBgn0274802" "pseudo_both"
"489" "FBgn0143409" "FBgn0280681" "FBgn0274304" "pseudo_dup_2"
"490" "FBgn0143793" "FBgn0147272" "FBgn0089036" "pseudo_dup_2"
"491" "FBgn0141829" "FBgn0141890" "FBgn0088330" "pseudo_dup_1"
"493" "FBgn0136456" "FBgn0143963" "FBgn0089526" "pseudo_dup_1"
"495" "FBgn0141588" "FBgn0145144" "FBgn0089911" "pseudo_dup_2"
"496" "FBgn0132908" "FBgn0134017" "FBgn0100155" "pseudo_dup_2"
"497" "FBgn0137981" "FBgn0146564" "FBgn0098753" "pseudo_dup_2"
"498" "FBgn0135584" "FBgn0281526" "FBgn0101386" "pseudo_both"
"499" "FBgn0138372" "FBgn0139013" "FBgn0099029" "pseudo_dup_2"
"500" "FBgn0136193" "FBgn0136194" "FBgn0088046" "pseudo_dup_2"
"502" "FBgn0138766" "FBgn0139596" "FBgn0087894" "Conservation"
"503" "FBgn0138502" "FBgn0141128" "FBgn0099349" "Conservation"
"504" "FBgn0139414" "FBgn0139415" "FBgn0101756" "pseudo_both"
"505" "FBgn0140008" "FBgn0141817" "FBgn0089853" "pseudo_dup_1"
"506" "FBgn0137657" "FBgn0138450" "FBgn0098262" "pseudo_dup_2"
"508" "FBgn0134928" "FBgn0134929" "FBgn0101932" "pseudo_dup_2"
"509" "FBgn0134310" "FBgn0136508" "FBgn0087737" "Conservation"
"511" "FBgn0141560" "FBgn0143488" "FBgn0090321" "pseudo_dup_1"
"512" "FBgn0146360" "FBgn0280523" "FBgn0097815" "Conservation"
"514" "FBgn0136328" "FBgn0137319" "FBgn0102305" "pseudo_both"
"515" "FBgn0143236" "FBgn0144600" "FBgn0090100" "Neofunctionalization(Dup1)"
"516" "FBgn0133637" "FBgn0142581" "FBgn0089782" "pseudo_dup_1"
"517" "FBgn0144427" "FBgn0145757" "FBgn0093310" "pseudo_both"
"518" "FBgn0137562" "FBgn0139938" "FBgn0097462" "pseudo_dup_1"
"519" "FBgn0134361" "FBgn0134810" "FBgn0102250" "pseudo_dup_2"
"520" "FBgn0143856" "FBgn0280865" "FBgn0274673" "pseudo_both"
"521" "FBgn0141271" "FBgn0143723" "FBgn0088287" "pseudo_both"
"523" "FBgn0141804" "FBgn0143229" "FBgn0033735" "Neofunctionalization(Dup1)"
"525" "FBgn0133648" "FBgn0140506" "FBgn0031554" "pseudo_dup_1"
"526" "FBgn0140501" "FBgn0140504" "FBgn0031558" "Conservation"
"527" "FBgn0135955" "FBgn0135956" "FBgn0053234" "pseudo_both"
"528" "FBgn0134261" "FBgn0134613" "FBgn0036446" "pseudo_dup_2"
"530" "FBgn0136752" "FBgn0139255" "FBgn0010473" "pseudo_both"
"531" "FBgn0141412" "FBgn0143676" "FBgn0034509" "pseudo_both"
"532" "FBgn0133649" "FBgn0141231" "FBgn0050463" "Conservation"
"535" "FBgn0137892" "FBgn0143012" "FBgn0030082" "pseudo_dup_2"
"537" "FBgn0139376" "FBgn0139522" "FBgn0035858" "pseudo_dup_1"
"538" "FBgn0135482" "FBgn0140140" "FBgn0054003" "pseudo_dup_1"
"539" "FBgn0138893" "FBgn0140789" "FBgn0054007" "pseudo_both"
"540" "FBgn0034470" "FBgn0043532" "FBgn0090200" "pseudo_dup_2"
"542" "FBgn0029964" "FBgn0038387" "FBgn0095569" "pseudo_dup_1"
"543" "FBgn0039800" "FBgn0039801" "FBgn0100306" "Conservation"
"544" "FBgn0032372" "FBgn0043783" "FBgn0102149" "Conservation"
"545" "FBgn0015320" "FBgn0031331" "FBgn0091095" "Conservation"
"547" "FBgn0037003" "FBgn0037004" "FBgn0087392" "Conservation"
"548" "FBgn0034471" "FBgn0043530" "FBgn0088775" "pseudo_dup_2"
"549" "FBgn0036858" "FBgn0053460" "FBgn0096781" "pseudo_dup_1"
"550" "FBgn0029589" "FBgn0029590" "FBgn0098084" "pseudo_both"
"551" "FBgn0264544" "FBgn0264545" "FBgn0098317" "pseudo_both"
"552" "FBgn0030918" "FBgn0038445" "FBgn0099432" "pseudo_both"
"553" "FBgn0030511" "FBgn0032436" "FBgn0099589" "pseudo_dup_2"
"554" "FBgn0085296" "FBgn0085297" "FBgn0101877" "pseudo_both"
"555" "FBgn0259965" "FBgn0262999" "FBgn0274445" "pseudo_both"
"557" "FBgn0259951" "FBgn0261054" "FBgn0274830" "pseudo_both"
"558" "FBgn0053644" "FBgn0053647" "FBgn0274865" "pseudo_both"
"559" "FBgn0052580" "FBgn0053325" "FBgn0274048" "pseudo_both"
"560" "FBgn0259960" "FBgn0259961" "FBgn0274474" "pseudo_both"
"561" "FBgn0020509" "FBgn0036495" "FBgn0274095" "pseudo_both"
"562" "FBgn0015586" "FBgn0052203" "FBgn0087820" "pseudo_both"
"563" "FBgn0036467" "FBgn0036468" "FBgn0087789" "pseudo_dup_2"
"565" "FBgn0053757" "FBgn0053758" "FBgn0089538" "pseudo_both"
"566" "FBgn0090369" "FBgn0274587" "FBgn0015247" "pseudo_dup_2"
"567" "FBgn0091565" "FBgn0091566" "FBgn0032615" "Neofunctionalization(Dup2)"
"569" "FBgn0093293" "FBgn0274957" "FBgn0039627" "pseudo_dup_2"
"570" "FBgn0093445" "FBgn0099368" "FBgn0053181" "Conservation"
"571" "FBgn0093705" "FBgn0096324" "FBgn0038815" "pseudo_both"
"572" "FBgn0096337" "FBgn0100416" "FBgn0262636" "pseudo_dup_2"
"574" "FBgn0097393" "FBgn0275053" "FBgn0029853" "pseudo_dup_1"
"575" "FBgn0091014" "FBgn0099215" "FBgn0040066" "pseudo_dup_1"
"576" "FBgn0087983" "FBgn0100464" "FBgn0036373" "pseudo_dup_1"
"578" "FBgn0273768" "FBgn0274329" "FBgn0262359" "pseudo_dup_2"
"579" "FBgn0096177" "FBgn0274590" "FBgn0086448" "pseudo_dup_2"
"580" "FBgn0095793" "FBgn0273958" "FBgn0027563" "Conservation"
"584" "FBgn0089199" "FBgn0089200" "FBgn0034335" "Conservation"
"585" "FBgn0089368" "FBgn0089369" "FBgn0034437" "pseudo_dup_2"
"588" "FBgn0093122" "FBgn0274869" "FBgn0053927" "pseudo_dup_2"
"589" "FBgn0093509" "FBgn0274081" "FBgn0051296" "pseudo_both"
"590" "FBgn0094806" "FBgn0096913" "FBgn0037514" "pseudo_both"
"592" "FBgn0095441" "FBgn0101679" "FBgn0037669" "pseudo_dup_2"
"593" "FBgn0096688" "FBgn0273514" "FBgn0051955" "pseudo_dup_2"
"594" "FBgn0097093" "FBgn0274470" "FBgn0053703" "pseudo_both"
"595" "FBgn0098055" "FBgn0098056" "FBgn0030599" "pseudo_both"
"596" "FBgn0098724" "FBgn0098848" "FBgn0034205" "pseudo_both"
"597" "FBgn0098301" "FBgn0101050" "FBgn0036395" "Conservation"
"598" "FBgn0274211" "FBgn0274948" "FBgn0262580" "pseudo_both"
"599" "FBgn0093710" "FBgn0274793" "FBgn0051205" "Conservation"
"600" "FBgn0273587" "FBgn0274359" "FBgn0050430" "pseudo_both"
"601" "FBgn0274619" "FBgn0275380" "FBgn0259953" "pseudo_both"
"602" "FBgn0273469" "FBgn0274725" "FBgn0051606" "pseudo_both"
